no,provinsi,kota,kecamatan,kelurahan,nama_sppg
142,JAWA BARAT,KARAWANG,KLARI,KLARI,SPPG Karawang Klari Klari
143,JAWA BARAT,BOGOR,CIOMAS,LALADON,SPPG Bogor Ciomas Laladon 2
144,JAWA BARAT,KOTA BANDUNG,UJUNGBERUNG,CIGENDING,SPPG Kota Bandung Ujungberung Cigending
145,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,HARAPANBARU,SPPG Kota Bekasi Bekasi Utara Harapanbaru 2
146,JAWA BARAT,CIANJUR,PACET,SUKANAGALIH,SPPG Cianjur Pacet Sukanagalih 2
147,JAWA BARAT,TASIKMALAYA,CIKALONG,MANDALAJAYA,SPPG Tasikmalaya Cikalong Mandalajaya 2
148,JAWA BARAT,CIREBON,WALED,CIKULAK KIDUL,SPPG Cirebon Waled Cikulak Kidul
149,JAWA BARAT,TASIKMALAYA,SUKARAME,PADASUKA,SPPG Tasikmalaya Sukarame Padasuka
150,JAWA BARAT,BEKASI,SERANG BARU,JAYAMULYA,SPPG Bekasi Serang Baru Jayamulya 3
151,JAWA BARAT,TASIKMALAYA,CIGALONTANG,JAYAPURA,SPPG Tasikmalaya Cigalontang Jayapura
152,JAWA BARAT,PURWAKARTA,PURWAKARTA,CISEUREUH,SPPG Purwakarta Purwakarta Ciseureuh 3
153,JAWA BARAT,BEKASI,SERANG BARU,JAYASAMPURNA,SPPG Bekasi Serang Baru Jayasampurna
154,JAWA BARAT,GARUT,PASIRWANGI,PADAMUKTI,SPPG Garut Pasirwangi Padamukti
155,JAWA BARAT,BANDUNG BARAT,PADALARANG,JAYAMEKAR,SPPG Bandung Barat Padalarang Jayamekar 2
156,JAWA BARAT,SUBANG,CIBOGO,BELENDUNG,SPPG Subang Cibogo Belendung
157,JAWA BARAT,GARUT,KADUNGORA,CISAAT,SPPG Garut Kadungora Cisaat
158,JAWA BARAT,KOTA DEPOK,SAWANGAN,KEDAUNG,SPPG Kota Depok Sawangan Kedaung 1
159,JAWA BARAT,SUKABUMI,SUKARAJA,SUKAMEKAR,SPPG Sukabumi Sukaraja Sukamekar
160,JAWA BARAT,SUKABUMI,CIREUNGHAS,CIREUNGHAS,SPPG Sukabumi Cireunghas Cireunghas
161,JAWA BARAT,CIANJUR,PACET,SUKANAGALIH,SPPG Cianjur Pacet Sukanagalih 4
162,JAWA BARAT,BOGOR,BOJONG GEDE,RAWAPANJANG,SPPG Bogor Bojong Gede Rawapanjang 2
163,JAWA BARAT,GARUT,PAMEUNGPEUK,JATIMULYA,SPPG Garut Pameungpeuk Jatimulya
164,JAWA BARAT,GARUT,KARANGPAWITAN,SINDANGPALAY,SPPG Garut Karangpawitan Sindangpalay
165,JAWA BARAT,KUNINGAN,KRAMATMULYA,KARANGMANGU,SPPG Kuningan Kramatmulya Karangmangu
166,JAWA BARAT,SUBANG,CIBOGO,BELENDUNG,SPPG Subang Cibogo Belendung
167,JAWA BARAT,GARUT,KADUNGORA,CISAAT,SPPG Garut Kadungora Cisaat
168,JAWA BARAT,KOTA DEPOK,SAWANGAN,KEDAUNG,SPPG Kota Depok Sawangan Kedaung 1
169,JAWA BARAT,GARUT,MALANGBONG,SUKAJAYA,SPPG Garut Malangbong Sukajaya
170,JAWA BARAT,TASIKMALAYA,SUKAHENING,SUKAHENING,SPPG Tasikmalaya Sukahening Sukahening
171,JAWA BARAT,GARUT,MALANGBONG,SUKAJAYA,SPPG Garut Malangbong Sukajaya
172,JAWA BARAT,KUNINGAN,KRAMATMULYA,KARANGMANGU,SPPG Kuningan Kramatmulya Karangmangu
173,JAWA BARAT,GARUT,KADUNGORA,KADUNGORA,SPPG Garut Kadungora Kadungora
174,JAWA BARAT,GARUT,KARANGPAWITAN,SINDANGPALAY,SPPG Garut Karangpawitan Sindangpalay
175,JAWA BARAT,KOTA DEPOK,SAWANGAN,KEDAUNG,SPPG Kota Depok Sawangan Kedaung 1
176,JAWA BARAT,GARUT,PAMEUNGPEUK,JATIMULYA,SPPG Garut Pameungpeuk Jatimulya
177,JAWA BARAT,BEKASI,KARANG BAHAGIA,SUKARAYA,SPPG Bekasi Karang Bahagia Sukaraya 2
178,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,BATUJAJAR BARAT,SPPG Bandung Barat Batujajar Batujajar Barat 2
179,JAWA BARAT,SUKABUMI,SUKARAJA,SUKAMEKAR,SPPG Sukabumi Sukaraja Sukamekar
180,JAWA BARAT,GARUT,KADUNGORA,CISAAT,SPPG Garut Kadungora Cisaat
181,JAWA BARAT,GARUT,MALANGBONG,SUKAJAYA,SPPG Garut Malangbong Sukajaya
182,JAWA BARAT,KUNINGAN,KRAMATMULYA,KARANGMANGU,SPPG Kuningan Kramatmulya Karangmangu
183,JAWA BARAT,GARUT,KADUNGORA,KADUNGORA,SPPG Garut Kadungora Kadungora
184,JAWA BARAT,BANDUNG,CILEUNYI,CILEUNYI KULON,SPPG Bandung Cileunyi Cileunyi Kulon 2
185,JAWA BARAT,SUKABUMI,CIDAHU,JAYABAKTI,SPPG Sukabumi Cidahu Jayabakti 2
186,JAWA BARAT,GARUT,CISURUPAN,CISURUPAN,SPPG Garut Cisurupan Cisurupan 2
187,JAWA BARAT,GARUT,KADUNGORA,CISAAT,SPPG Garut Kadungora Cisaat
188,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,BATUJAJAR BARAT,SPPG Bandung Barat Batujajar Batujajar Barat 2
189,JAWA BARAT,SUBANG,CIBOGO,BELENDUNG,SPPG Subang Cibogo Belendung
190,JAWA BARAT,SUKABUMI,CIREUNGHAS,CIREUNGHAS,SPPG Sukabumi Cireunghas Cireunghas
191,JAWA BARAT,GARUT,MALANGBONG,SUKAJAYA,SPPG Garut Malangbong Sukajaya
192,JAWA BARAT,BEKASI,KARANG BAHAGIA,SUKARAYA,SPPG Bekasi Karang Bahagia Sukaraya 2
193,JAWA BARAT,BEKASI,PEBAYURAN,SUMBEREJA,SPPG Bekasi Pebayuran Sumbereja
194,JAWA BARAT,GARUT,KARANGPAWITAN,SINDANGPALAY,SPPG Garut Karangpawitan Sindangpalay
195,JAWA BARAT,KOTA DEPOK,SAWANGAN,KEDAUNG,SPPG Kota Depok Sawangan Kedaung 1
196,JAWA BARAT,GARUT,PAMEUNGPEUK,JATIMULYA,SPPG Garut Pameungpeuk Jatimulya
197,JAWA BARAT,GARUT,KADUNGORA,CISAAT,SPPG Garut Kadungora Cisaat
198,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,BATUJAJAR BARAT,SPPG Bandung Barat Batujajar Batujajar Barat 2
199,JAWA BARAT,SUBANG,CIBOGO,BELENDUNG,SPPG Subang Cibogo Belendung
200,JAWA BARAT,KUNINGAN,KRAMATMULYA,KARANGMANGU,SPPG Kuningan Kramatmulya Karangmangu
201,JAWA BARAT,GARUT,CILAWU,CILAWU,SPPG Garut Cilawu Cilawu
202,JAWA BARAT,SUBANG,CIBOGO,BELENDUNG,SPPG Subang Cibogo Belendung
203,JAWA BARAT,GARUT,KADUNGORA,CISAAT,SPPG Garut Kadungora Cisaat
204,JAWA BARAT,KOTA DEPOK,SAWANGAN,KEDAUNG,SPPG Kota Depok Sawangan Kedaung 1
205,JAWA BARAT,SUKABUMI,SUKARAJA,SUKAMEKAR,SPPG Sukabumi Sukaraja Sukamekar
206,JAWA BARAT,SUKABUMI,CIREUNGHAS,CIREUNGHAS,SPPG Sukabumi Cireunghas Cireunghas
207,JAWA BARAT,GARUT,MALANGBONG,SUKAJAYA,SPPG Garut Malangbong Sukajaya
208,JAWA BARAT,GARUT,KADUNGORA,KADUNGORA,SPPG Garut Kadungora Kadungora
209,JAWA BARAT,CIANJUR,PACET,SUKANAGALIH,SPPG Cianjur Pacet Sukanagalih 4
210,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,BATUJAJAR BARAT,SPPG Bandung Barat Batujajar Batujajar Barat 2
211,JAWA BARAT,BOGOR,BOJONG GEDE,RAWAPANJANG,SPPG Bogor Bojong Gede Rawapanjang 2
212,JAWA BARAT,TASIKMALAYA,SUKAHENING,SUKAHENING,SPPG Tasikmalaya Sukahening Sukahening
213,JAWA BARAT,SUKABUMI,CIDAHU,PONDOKKASO TENGAH,SPPG Sukabumi Cidahu Pondokkaso Tengah 2
214,JAWA BARAT,TASIKMALAYA,RAJAPOLAH,SUKANAGALIH,SPPG Tasikmalaya Rajapolah Sukanagalih 3
215,JAWA BARAT,SUBANG,SAGALAHERANG,SAGALAHERANG KALER,SPPG Subang Sagalaherang Sagalaherang kaler
216,JAWA BARAT,CIANJUR,SUKALUYU,SINDANGRAJA,SPPG Cianjur Sukaluyu Sindangraja
217,JAWA BARAT,BOGOR,CARIU,CARIU,SPPG Bogor Cariu Cariu
218,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 2
219,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,HARAPANBARU,SPPG Kota Bekasi Bekasi Utara Harapanbaru
220,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,BATUJAJAR BARAT,SPPG Bandung Barat Batujajar Batujajar Barat 2
221,JAWA BARAT,KARAWANG,PURWASARI,PURWASARI,SPPG Karawang Purwasari Purwasari 2
222,JAWA BARAT,SUKABUMI,JAMPANGTENGAH,JAMPANGTENGAH,SPPG Sukabumi Jampangtengah Jampangtengah
223,JAWA BARAT,CIANJUR,PACET,SUKANAGALIH,SPPG Cianjur Pacet Sukanagalih 4
224,JAWA BARAT,BOGOR,CILEUNGSI,PASIRANGIN,SPPG Bogor Cileungsi Pasirangin
225,JAWA BARAT,CIREBON,WALED,MEKARSARI,SPPG Cirebon Waled Mekarsari
226,JAWA BARAT,KARAWANG,KLARI,DUREN,SPPG Karawang Klari Duren 4
227,JAWA BARAT,SUBANG,CIBOGO,CIBOGO,SPPG Subang Cibogo Cibogo
228,JAWA BARAT,GARUT,MALANGBONG,KUTANAGARA,SPPG Garut Malangbong Kutanagara
229,JAWA BARAT,KOTA CIREBON,KEJAKSAN,KESENDEN,SPPG Kota Cirebon Kejaksan Kesenden 3
230,JAWA BARAT,BOGOR,TAMANSARI,SUKAMANTRI,SPPG Bogor Tamansari Sukamantri 5
231,JAWA BARAT,GARUT,KADUNGORA,CISAAT,SPPG Garut Kadungora Cisaat
232,JAWA BARAT,KOTA DEPOK,SAWANGAN,KEDAUNG,SPPG Kota Depok Sawangan Kedaung 1
233,JAWA BARAT,SUKABUMI,SUKARAJA,SUKAMEKAR,SPPG Sukabumi Sukaraja Sukamekar
234,JAWA BARAT,SUKABUMI,CIREUNGHAS,CIREUNGHAS,SPPG Sukabumi Cireunghas Cireunghas
235,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,BATUJAJAR BARAT,SPPG Bandung Barat Batujajar Batujajar Barat 2
236,JAWA BARAT,GARUT,KARANGPAWITAN,SINDANGPALAY,SPPG Garut Karangpawitan Sindangpalay
