Provinsi,Kab/Kota,kecamatan,SD,SMP,SMA,SMK,TOTAL,jumlah_sppg,priority_score
JawaBarat,MAJALENGKA,ARGAPURA,22,4,0,1,27,0,54.0
JawaBarat,MAJALENGKA,CIGASONG,18,2,0,3,23,6,19.43
JawaBarat,MAJALENGKA,CINGAMBUL,25,6,0,1,32,3,36.25
JawaBarat,MAJALENGKA,KADIPATEN,18,4,1,4,27,0,54.0
JawaBarat,MAJALENGKA,SINDANGWANGI,19,4,1,2,26,0,52.0
JawaBarat,MAJALENGKA,RAJAGALUH,26,5,2,2,35,11,26.0
JawaBarat,MAJALENGKA,DAWUAN,21,3,0,1,25,2,30.67
JawaBarat,MAJALENGKA,PANYINGKIRAN,15,4,0,3,22,5,19.83
JawaBarat,MAJALENGKA,SINDANG,11,2,1,2,16,2,18.67
JawaBarat,PURWAKARTA,PURWAKARTA,67,24,9,17,117,20,101.62
JawaBarat,PURWAKARTA,DARANGDAN,35,8,1,2,46,7,43.88
JawaBarat,PURWAKARTA,SUKATANI,31,9,4,6,50,6,50.29
JawaBarat,PURWAKARTA,JATILUHUR,34,5,2,3,44,5,45.5
JawaBarat,PURWAKARTA,PLERED,28,10,2,3,43,17,27.44
JawaBarat,PURWAKARTA,BABAKANCIKAO,23,5,1,6,35,5,35.0
JawaBarat,PURWAKARTA,BOJONG,22,5,0,3,30,17,13.72
JawaBarat,PURWAKARTA,BUNGURSARI,19,5,1,3,28,0,56.0
JawaBarat,PURWAKARTA,TEGALWARU,25,9,1,3,38,16,23.29
JawaBarat,PURWAKARTA,WANAYASA,24,8,2,2,36,7,32.62
JawaBarat,PURWAKARTA,PASAWAHAN,22,6,2,3,33,5,32.67
JawaBarat,PURWAKARTA,CAMPAKA,20,7,2,2,31,4,32.4
JawaBarat,PURWAKARTA,MANIIS,16,6,1,4,27,0,54.0
JawaBarat,PURWAKARTA,CIBATU,15,3,1,1,20,0,40.0
JawaBarat,PURWAKARTA,PONDOKSALAM,16,5,1,1,23,0,46.0
JawaBarat,PURWAKARTA,KIARAPEDES,17,3,0,1,21,0,42.0
JawaBarat,PURWAKARTA,SUKASARI,10,6,1,0,17,1,24.0
JawaBarat,BOGOR,BOGORBARAT,65,30,11,23,129,0,258.0
JawaBarat,BOGOR,TANAHSAREAL,49,21,9,18,97,13,90.0
JawaBarat,BOGOR,BOGORSELATAN,52,28,11,18,109,0,218.0
JawaBarat,BOGOR,BOGORUTARA,40,16,8,18,82,0,164.0
